0,1,2,3,4,5,6
ああいう,,exp adj-pn,,605,that sort of like that,2085090
ああいう風に,ああいうふうに,exp uk,,2,in that way like that,2424550
ああいった,,exp adj-f,,3,that sort of like that,2219700
ああした,,exp adj-pn,,4,that sort of like that,2085100
ああしろこうしろ,,exp,,2,"do this, do that dos and don'ts",2524390
ああだこうだ,,exp,,4,"this, that and the other this and that",2085130
ああでもないこうでもない,,exp,,4,humming and hawing shilly-shallying,2085140
ああ見えても,ああみえても,exp,,4,despite appearances,2021770
ああ言えばこう言う,ああいえばこういう,exp,,6,"to have a comeback (i.e. a reason, or rationalization) for every remark",1982130
あいた口が塞がらぬ,あいたくちがふさがらぬ,exp adj-f,,2,surprising shocking jaw-dropping,2038940
あいた口も塞がらぬ,あいたくちもふさがらぬ,exp adj-f,,2,surprising shocking jaw-dropping,2038950
あいてにとって不足はない,あいてにとってふそくはない,exp,,1,good match for an opponent worthy (e.g. rival),2641030
あいよかけよ,,exp n Shinto,,1,coexistence mutual fulfilment,2830328
あうんの呼吸,あうんのこきゅう,exp n,,6,"the harmonizing, mentally and physically, of two parties engaged in an activity singing from the same hymn-sheet dancing to the same beat",1000200
あきまへん,,exp ksb,,2,no good unacceptable,2085160
あくを取る,あくをとる,exp v5r,v5,5,to skim the scum from broth or liquid to skim (a liquid),2029190
あけおめ,,exp abbr,,4,Happy New Year,1982920
あごが干上がる,あごがひあがる,exp v5r,v5,4,to lose one's means of livelihood to become unable to earn a living,2249920
あごで使う,あごでつかう,exp v5u,v5,4,to set somebody to work in an arrogant fashion to push somebody around to indicate by pointing one's chin,2088790
あじゃじゃしたー,,exp sl,,1,thank you,2753930
あたま来る,あたまくる,exp vk abbr,vk,1,to get mad to be highly offended to get pissed off to get angry to lose one's cool,2827428
あたり一帯,あたりいったい,exp,,1,all around as far as the eye can see,2657490
あったま来る,あったまくる,exp vk uk col,vk,1,to get mad to be highly offended to get pissed off to get angry to lose one's cool,2827325
あっち行け,あっちいけ,exp,,3,get away from me!,2020670
あってこその,,exp adj-f,,1,which can exist solely due to the presence of whose existence is determined entirely by which owes everything to,2827278
あってなきがごとき,,exp,,3,virtually nonexistent negligible,2415130
あっという間,あっというま,exp n,,602,"a blink of time the time it takes to say ""Ah!""",2208410
あっという間に,あっというまに,exp adv,,604,"just like that in the twinkling of an eye in the blink of an eye in the time it takes to say ""ah!""",1000390
あっと言わせる,あっといわせる,exp v1,v1,5,to startle to surprise,1612980
あっと驚く,あっとおどろく,exp v5k,v5,2,to get a big surprise to be astonished,2830755
あてがい扶持,あてがいぶち,exp n,,2,discretionary allowance,2034870
あと一歩,あといっぽ,exp adv,,4,one more another the other,2069680
あと出しじゃんけん,あとだしじゃんけん,exp n,,1,waiting to see one's opponent's move playing a waiting game,2833556
あに図らんや,あにはからんや,exp,,4,contrary to one's expectations to one's surprise,2034920
あの世に行く,あのよにいく,exp v5k-s,v5,1,to die to go to heaven,2766150
あの声で蜥蜴食らうか時鳥,あのこえでとかげくらうかほととぎす,exp id,,1,you can't judge a book by its cover,2789880
あの手この手,あのてこのて,exp,,3,this way and that (by) various means (by) every means,1981810
あの様に,あのように,exp uk,,2,in that way like that that way,2007180
あの頃,あのころ,exp,,3,in those days,2232790
あべし,,exp arch,,-99,(having) expectations (having) an ideal,2680880
